# Pong Object Coordinates - Level pong-0
# Format: frame_number,image_file,object_type,x,y,width,height,center_x,center_y

# Frame 0, Action: fire, Step: 0
# Frame 10, Action: fire, Step: 10
10,frame_000010.png,player_paddle,142,103,10,30,142,103
10,frame_000010.png,score_left,42,11,8,8,42,11
10,frame_000010.png,score_right,122,11,8,8,122,11
# Frame 11, Action: fire, Step: 11
11,frame_000011.png,player_paddle,142,103,10,30,142,103
11,frame_000011.png,score_left,42,11,8,8,42,11
11,frame_000011.png,score_right,122,11,8,8,122,11
# Frame 12, Action: fire, Step: 12
12,frame_000012.png,player_paddle,142,103,10,30,142,103
12,frame_000012.png,score_left,42,11,8,8,42,11
12,frame_000012.png,score_right,122,11,8,8,122,11
# Frame 13, Action: fire, Step: 13
13,frame_000013.png,player_paddle,142,103,10,30,142,103
13,frame_000013.png,score_left,42,11,8,8,42,11
13,frame_000013.png,score_right,122,11,8,8,122,11
# Frame 14, Action: fire, Step: 14
14,frame_000014.png,player_paddle,142,103,10,30,142,103
14,frame_000014.png,score_left,42,11,8,8,42,11
14,frame_000014.png,score_right,122,11,8,8,122,11
# Frame 15, Action: fire, Step: 15
15,frame_000015.png,player_paddle,142,103,10,30,142,103
15,frame_000015.png,score_left,42,11,8,8,42,11
15,frame_000015.png,score_right,122,11,8,8,122,11
# Frame 16, Action: fire, Step: 16
16,frame_000016.png,player_paddle,142,103,10,30,142,103
16,frame_000016.png,score_left,42,11,8,8,42,11
16,frame_000016.png,score_right,122,11,8,8,122,11
# Frame 17, Action: fire, Step: 17
17,frame_000017.png,player_paddle,142,103,10,30,142,103
17,frame_000017.png,score_left,42,11,8,8,42,11
17,frame_000017.png,score_right,122,11,8,8,122,11
# Frame 18, Action: fire, Step: 18
18,frame_000018.png,player_paddle,142,103,10,30,142,103
18,frame_000018.png,score_left,42,11,8,8,42,11
18,frame_000018.png,score_right,122,11,8,8,122,11
# Frame 19, Action: fire, Step: 19
19,frame_000019.png,player_paddle,142,103,10,30,142,103
19,frame_000019.png,enemy_paddle,18,124,10,30,18,124
19,frame_000019.png,ball,77,119,4,4,77,119
19,frame_000019.png,score_left,42,11,8,8,42,11
19,frame_000019.png,score_right,122,11,8,8,122,11
# Frame 20, Action: noop, Step: 20
20,frame_000020.png,player_paddle,142,103,10,30,142,103
20,frame_000020.png,enemy_paddle,18,126,10,30,18,126
20,frame_000020.png,ball,75,121,4,4,75,121
20,frame_000020.png,score_left,42,11,8,8,42,11
20,frame_000020.png,score_right,122,11,8,8,122,11
# Frame 21, Action: noop, Step: 21
21,frame_000021.png,player_paddle,142,103,10,30,142,103
21,frame_000021.png,enemy_paddle,18,128,10,30,18,128
21,frame_000021.png,ball,73,123,4,4,73,123
21,frame_000021.png,score_left,42,11,8,8,42,11
21,frame_000021.png,score_right,122,11,8,8,122,11
# Frame 22, Action: noop, Step: 22
22,frame_000022.png,player_paddle,142,103,10,30,142,103
22,frame_000022.png,enemy_paddle,18,132,10,30,18,132
22,frame_000022.png,ball,69,127,4,4,69,127
22,frame_000022.png,score_left,42,11,8,8,42,11
22,frame_000022.png,score_right,122,11,8,8,122,11
# Frame 23, Action: noop, Step: 23
23,frame_000023.png,player_paddle,142,103,10,30,142,103
23,frame_000023.png,enemy_paddle,18,134,10,30,18,134
23,frame_000023.png,ball,67,129,4,4,67,129
23,frame_000023.png,score_left,42,11,8,8,42,11
23,frame_000023.png,score_right,122,11,8,8,122,11
# Frame 24, Action: fire, Step: 0
24,frame_000024.png,player_paddle,142,103,10,30,142,103
24,frame_000024.png,score_left,42,11,8,8,42,11
24,frame_000024.png,score_right,122,11,8,8,122,11
# Frame 25, Action: fire, Step: 1
25,frame_000025.png,player_paddle,142,103,10,30,142,103
25,frame_000025.png,score_left,42,11,8,8,42,11
25,frame_000025.png,score_right,122,11,8,8,122,11
# Frame 26, Action: fire, Step: 2
26,frame_000026.png,player_paddle,142,103,10,30,142,103
26,frame_000026.png,score_left,42,11,8,8,42,11
26,frame_000026.png,score_right,122,11,8,8,122,11
# Frame 27, Action: fire, Step: 3
27,frame_000027.png,player_paddle,142,103,10,30,142,103
27,frame_000027.png,score_left,42,11,8,8,42,11
27,frame_000027.png,score_right,122,11,8,8,122,11
# Frame 28, Action: fire, Step: 4
28,frame_000028.png,player_paddle,142,103,10,30,142,103
28,frame_000028.png,score_left,42,11,8,8,42,11
28,frame_000028.png,score_right,122,11,8,8,122,11
# Frame 29, Action: fire, Step: 5
29,frame_000029.png,player_paddle,142,103,10,30,142,103
29,frame_000029.png,score_left,42,11,8,8,42,11
29,frame_000029.png,score_right,122,11,8,8,122,11
# Frame 30, Action: fire, Step: 6
30,frame_000030.png,player_paddle,142,103,10,30,142,103
30,frame_000030.png,score_left,42,11,8,8,42,11
30,frame_000030.png,score_right,122,11,8,8,122,11
# Frame 31, Action: fire, Step: 7
31,frame_000031.png,player_paddle,142,103,10,30,142,103
31,frame_000031.png,score_left,42,11,8,8,42,11
31,frame_000031.png,score_right,122,11,8,8,122,11
# Frame 32, Action: fire, Step: 8
32,frame_000032.png,player_paddle,142,103,10,30,142,103
32,frame_000032.png,score_left,42,11,8,8,42,11
32,frame_000032.png,score_right,122,11,8,8,122,11
# Frame 33, Action: fire, Step: 9
33,frame_000033.png,player_paddle,142,103,10,30,142,103
33,frame_000033.png,score_left,42,11,8,8,42,11
33,frame_000033.png,score_right,122,11,8,8,122,11
# Frame 34, Action: fire, Step: 10
34,frame_000034.png,player_paddle,142,103,10,30,142,103
34,frame_000034.png,score_left,42,11,8,8,42,11
34,frame_000034.png,score_right,122,11,8,8,122,11
# Frame 35, Action: fire, Step: 11
35,frame_000035.png,player_paddle,142,103,10,30,142,103
35,frame_000035.png,score_left,42,11,8,8,42,11
35,frame_000035.png,score_right,122,11,8,8,122,11
# Frame 36, Action: fire, Step: 12
36,frame_000036.png,player_paddle,142,103,10,30,142,103
36,frame_000036.png,score_left,42,11,8,8,42,11
36,frame_000036.png,score_right,122,11,8,8,122,11
# Frame 37, Action: fire, Step: 13
37,frame_000037.png,player_paddle,142,103,10,30,142,103
37,frame_000037.png,score_left,42,11,8,8,42,11
37,frame_000037.png,score_right,122,11,8,8,122,11
# Frame 38, Action: fire, Step: 14
38,frame_000038.png,player_paddle,142,103,10,30,142,103
38,frame_000038.png,score_left,42,11,8,8,42,11
38,frame_000038.png,score_right,122,11,8,8,122,11
# Frame 39, Action: fire, Step: 15
39,frame_000039.png,player_paddle,142,103,10,30,142,103
39,frame_000039.png,score_left,42,11,8,8,42,11
39,frame_000039.png,score_right,122,11,8,8,122,11
# Frame 40, Action: fire, Step: 16
40,frame_000040.png,player_paddle,142,103,10,30,142,103
40,frame_000040.png,score_left,42,11,8,8,42,11
40,frame_000040.png,score_right,122,11,8,8,122,11
# Frame 41, Action: fire, Step: 17
41,frame_000041.png,player_paddle,142,103,10,30,142,103
41,frame_000041.png,enemy_paddle,18,122,10,30,18,122
41,frame_000041.png,ball,78,118,4,4,78,118
41,frame_000041.png,score_left,42,11,8,8,42,11
41,frame_000041.png,score_right,122,11,8,8,122,11
# Frame 42, Action: fire, Step: 0
42,frame_000042.png,player_paddle,142,103,10,30,142,103
42,frame_000042.png,score_left,42,11,8,8,42,11
42,frame_000042.png,score_right,122,11,8,8,122,11
# Frame 43, Action: fire, Step: 1
43,frame_000043.png,player_paddle,142,103,10,30,142,103
43,frame_000043.png,score_left,42,11,8,8,42,11
43,frame_000043.png,score_right,122,11,8,8,122,11
# Frame 44, Action: fire, Step: 2
44,frame_000044.png,player_paddle,142,103,10,30,142,103
44,frame_000044.png,score_left,42,11,8,8,42,11
44,frame_000044.png,score_right,122,11,8,8,122,11
# Frame 45, Action: fire, Step: 3
45,frame_000045.png,player_paddle,142,103,10,30,142,103
45,frame_000045.png,score_left,42,11,8,8,42,11
45,frame_000045.png,score_right,122,11,8,8,122,11
# Frame 46, Action: fire, Step: 4
46,frame_000046.png,player_paddle,142,103,10,30,142,103
46,frame_000046.png,score_left,42,11,8,8,42,11
46,frame_000046.png,score_right,122,11,8,8,122,11
# Frame 47, Action: fire, Step: 5
47,frame_000047.png,player_paddle,142,103,10,30,142,103
47,frame_000047.png,score_left,42,11,8,8,42,11
47,frame_000047.png,score_right,122,11,8,8,122,11
# Frame 48, Action: fire, Step: 6
48,frame_000048.png,player_paddle,142,103,10,30,142,103
48,frame_000048.png,score_left,42,11,8,8,42,11
48,frame_000048.png,score_right,122,11,8,8,122,11
# Frame 49, Action: fire, Step: 7
49,frame_000049.png,player_paddle,142,103,10,30,142,103
49,frame_000049.png,score_left,42,11,8,8,42,11
49,frame_000049.png,score_right,122,11,8,8,122,11
# Frame 50, Action: fire, Step: 8
50,frame_000050.png,player_paddle,142,103,10,30,142,103
50,frame_000050.png,score_left,42,11,8,8,42,11
50,frame_000050.png,score_right,122,11,8,8,122,11
# Frame 51, Action: fire, Step: 9
51,frame_000051.png,player_paddle,142,103,10,30,142,103
51,frame_000051.png,score_left,42,11,8,8,42,11
51,frame_000051.png,score_right,122,11,8,8,122,11
# Frame 52, Action: fire, Step: 10
52,frame_000052.png,player_paddle,142,103,10,30,142,103
52,frame_000052.png,score_left,42,11,8,8,42,11
52,frame_000052.png,score_right,122,11,8,8,122,11
# Frame 53, Action: fire, Step: 11
53,frame_000053.png,player_paddle,142,103,10,30,142,103
53,frame_000053.png,score_left,42,11,8,8,42,11
53,frame_000053.png,score_right,122,11,8,8,122,11
# Frame 54, Action: fire, Step: 12
54,frame_000054.png,player_paddle,142,103,10,30,142,103
54,frame_000054.png,score_left,42,11,8,8,42,11
54,frame_000054.png,score_right,122,11,8,8,122,11
# Frame 55, Action: fire, Step: 13
55,frame_000055.png,player_paddle,142,103,10,30,142,103
55,frame_000055.png,score_left,42,11,8,8,42,11
55,frame_000055.png,score_right,122,11,8,8,122,11
# Frame 56, Action: fire, Step: 14
56,frame_000056.png,player_paddle,142,103,10,30,142,103
56,frame_000056.png,score_left,42,11,8,8,42,11
56,frame_000056.png,score_right,122,11,8,8,122,11
# Frame 57, Action: fire, Step: 15
57,frame_000057.png,player_paddle,142,103,10,30,142,103
57,frame_000057.png,score_left,42,11,8,8,42,11
57,frame_000057.png,score_right,122,11,8,8,122,11
# Frame 58, Action: fire, Step: 16
58,frame_000058.png,player_paddle,142,103,10,30,142,103
58,frame_000058.png,score_left,42,11,8,8,42,11
58,frame_000058.png,score_right,122,11,8,8,122,11
# Frame 59, Action: fire, Step: 17
59,frame_000059.png,player_paddle,142,103,10,30,142,103
59,frame_000059.png,score_left,42,11,8,8,42,11
59,frame_000059.png,score_right,122,11,8,8,122,11
# Frame 60, Action: fire, Step: 18
60,frame_000060.png,player_paddle,142,103,10,30,142,103
60,frame_000060.png,score_left,42,11,8,8,42,11
60,frame_000060.png,score_right,122,11,8,8,122,11
# Frame 61, Action: fire, Step: 19
61,frame_000061.png,player_paddle,142,103,10,30,142,103
61,frame_000061.png,enemy_paddle,18,122,10,30,18,122
61,frame_000061.png,ball,78,118,4,4,78,118
61,frame_000061.png,score_left,42,11,8,8,42,11
61,frame_000061.png,score_right,122,11,8,8,122,11
# Frame 62, Action: fire, Step: 0
62,frame_000062.png,player_paddle,142,103,10,30,142,103
62,frame_000062.png,score_left,42,11,8,8,42,11
62,frame_000062.png,score_right,122,11,8,8,122,11
# Frame 63, Action: fire, Step: 1
63,frame_000063.png,player_paddle,142,103,10,30,142,103
63,frame_000063.png,score_left,42,11,8,8,42,11
63,frame_000063.png,score_right,122,11,8,8,122,11
# Frame 64, Action: fire, Step: 2
64,frame_000064.png,player_paddle,142,103,10,30,142,103
64,frame_000064.png,score_left,42,11,8,8,42,11
64,frame_000064.png,score_right,122,11,8,8,122,11
# Frame 65, Action: fire, Step: 3
65,frame_000065.png,player_paddle,142,103,10,30,142,103
65,frame_000065.png,score_left,42,11,8,8,42,11
65,frame_000065.png,score_right,122,11,8,8,122,11
# Frame 66, Action: fire, Step: 4
66,frame_000066.png,player_paddle,142,103,10,30,142,103
66,frame_000066.png,score_left,42,11,8,8,42,11
66,frame_000066.png,score_right,122,11,8,8,122,11
# Frame 67, Action: fire, Step: 5
67,frame_000067.png,player_paddle,142,103,10,30,142,103
67,frame_000067.png,score_left,42,11,8,8,42,11
67,frame_000067.png,score_right,122,11,8,8,122,11
# Frame 68, Action: fire, Step: 6
68,frame_000068.png,player_paddle,142,103,10,30,142,103
68,frame_000068.png,score_left,42,11,8,8,42,11
68,frame_000068.png,score_right,122,11,8,8,122,11
# Frame 69, Action: fire, Step: 7
69,frame_000069.png,player_paddle,142,103,10,30,142,103
69,frame_000069.png,score_left,42,11,8,8,42,11
69,frame_000069.png,score_right,122,11,8,8,122,11
# Frame 70, Action: fire, Step: 8
70,frame_000070.png,player_paddle,142,103,10,30,142,103
70,frame_000070.png,score_left,42,11,8,8,42,11
70,frame_000070.png,score_right,122,11,8,8,122,11
# Frame 71, Action: fire, Step: 9
71,frame_000071.png,player_paddle,142,103,10,30,142,103
71,frame_000071.png,score_left,42,11,8,8,42,11
71,frame_000071.png,score_right,122,11,8,8,122,11
# Frame 72, Action: fire, Step: 10
72,frame_000072.png,player_paddle,142,103,10,30,142,103
72,frame_000072.png,score_left,42,11,8,8,42,11
72,frame_000072.png,score_right,122,11,8,8,122,11
# Frame 73, Action: fire, Step: 11
73,frame_000073.png,player_paddle,142,103,10,30,142,103
73,frame_000073.png,score_left,42,11,8,8,42,11
73,frame_000073.png,score_right,122,11,8,8,122,11
# Frame 74, Action: fire, Step: 12
74,frame_000074.png,player_paddle,142,103,10,30,142,103
74,frame_000074.png,score_left,42,11,8,8,42,11
74,frame_000074.png,score_right,122,11,8,8,122,11
# Frame 75, Action: fire, Step: 13
75,frame_000075.png,player_paddle,142,103,10,30,142,103
75,frame_000075.png,score_left,42,11,8,8,42,11
75,frame_000075.png,score_right,122,11,8,8,122,11
# Frame 76, Action: fire, Step: 14
76,frame_000076.png,player_paddle,142,103,10,30,142,103
76,frame_000076.png,score_left,42,11,8,8,42,11
76,frame_000076.png,score_right,122,11,8,8,122,11
# Frame 77, Action: fire, Step: 15
77,frame_000077.png,player_paddle,142,103,10,30,142,103
77,frame_000077.png,score_left,42,11,8,8,42,11
77,frame_000077.png,score_right,122,11,8,8,122,11
# Frame 78, Action: fire, Step: 16
78,frame_000078.png,player_paddle,142,103,10,30,142,103
78,frame_000078.png,score_left,42,11,8,8,42,11
78,frame_000078.png,score_right,122,11,8,8,122,11
# Frame 79, Action: fire, Step: 17
79,frame_000079.png,player_paddle,142,103,10,30,142,103
79,frame_000079.png,score_left,42,11,8,8,42,11
79,frame_000079.png,score_right,122,11,8,8,122,11
# Frame 80, Action: fire, Step: 18
80,frame_000080.png,player_paddle,142,103,10,30,142,103
80,frame_000080.png,score_left,42,11,8,8,42,11
80,frame_000080.png,score_right,122,11,8,8,122,11
# Frame 81, Action: fire, Step: 19
81,frame_000081.png,player_paddle,142,103,10,30,142,103
81,frame_000081.png,score_left,42,11,8,8,42,11
81,frame_000081.png,score_right,122,11,8,8,122,11
# Frame 82, Action: fire, Step: 20
82,frame_000082.png,player_paddle,142,103,10,30,142,103
82,frame_000082.png,enemy_paddle,18,124,10,30,18,124
82,frame_000082.png,ball,77,119,4,4,77,119
82,frame_000082.png,score_left,42,11,8,8,42,11
82,frame_000082.png,score_right,122,11,8,8,122,11
# Frame 83, Action: fire, Step: 0
83,frame_000083.png,player_paddle,142,103,10,30,142,103
83,frame_000083.png,score_left,42,11,8,8,42,11
83,frame_000083.png,score_right,122,11,8,8,122,11
# Frame 84, Action: fire, Step: 1
84,frame_000084.png,player_paddle,142,103,10,30,142,103
84,frame_000084.png,score_left,42,11,8,8,42,11
84,frame_000084.png,score_right,122,11,8,8,122,11
# Frame 85, Action: fire, Step: 2
85,frame_000085.png,player_paddle,142,103,10,30,142,103
85,frame_000085.png,score_left,42,11,8,8,42,11
85,frame_000085.png,score_right,122,11,8,8,122,11
# Frame 86, Action: fire, Step: 3
86,frame_000086.png,player_paddle,142,103,10,30,142,103
86,frame_000086.png,score_left,42,11,8,8,42,11
86,frame_000086.png,score_right,122,11,8,8,122,11
# Frame 87, Action: fire, Step: 4
87,frame_000087.png,player_paddle,142,103,10,30,142,103
87,frame_000087.png,score_left,42,11,8,8,42,11
87,frame_000087.png,score_right,122,11,8,8,122,11
# Frame 88, Action: fire, Step: 5
88,frame_000088.png,player_paddle,142,103,10,30,142,103
88,frame_000088.png,score_left,42,11,8,8,42,11
88,frame_000088.png,score_right,122,11,8,8,122,11
# Frame 89, Action: fire, Step: 6
89,frame_000089.png,player_paddle,142,103,10,30,142,103
89,frame_000089.png,score_left,42,11,8,8,42,11
89,frame_000089.png,score_right,122,11,8,8,122,11
# Frame 90, Action: fire, Step: 7
90,frame_000090.png,player_paddle,142,103,10,30,142,103
90,frame_000090.png,score_left,42,11,8,8,42,11
90,frame_000090.png,score_right,122,11,8,8,122,11
# Frame 91, Action: fire, Step: 8
91,frame_000091.png,player_paddle,142,103,10,30,142,103
91,frame_000091.png,score_left,42,11,8,8,42,11
91,frame_000091.png,score_right,122,11,8,8,122,11
# Frame 92, Action: fire, Step: 9
92,frame_000092.png,player_paddle,142,103,10,30,142,103
92,frame_000092.png,score_left,42,11,8,8,42,11
92,frame_000092.png,score_right,122,11,8,8,122,11
# Frame 93, Action: fire, Step: 10
93,frame_000093.png,player_paddle,142,103,10,30,142,103
93,frame_000093.png,score_left,42,11,8,8,42,11
93,frame_000093.png,score_right,122,11,8,8,122,11
# Frame 94, Action: fire, Step: 11
94,frame_000094.png,player_paddle,142,103,10,30,142,103
94,frame_000094.png,score_left,42,11,8,8,42,11
94,frame_000094.png,score_right,122,11,8,8,122,11
# Frame 95, Action: fire, Step: 12
95,frame_000095.png,player_paddle,142,103,10,30,142,103
95,frame_000095.png,score_left,42,11,8,8,42,11
95,frame_000095.png,score_right,122,11,8,8,122,11
# Frame 96, Action: fire, Step: 13
96,frame_000096.png,player_paddle,142,103,10,30,142,103
96,frame_000096.png,score_left,42,11,8,8,42,11
96,frame_000096.png,score_right,122,11,8,8,122,11
# Frame 97, Action: fire, Step: 14
97,frame_000097.png,player_paddle,142,103,10,30,142,103
97,frame_000097.png,score_left,42,11,8,8,42,11
97,frame_000097.png,score_right,122,11,8,8,122,11
# Frame 98, Action: fire, Step: 15
98,frame_000098.png,player_paddle,142,103,10,30,142,103
98,frame_000098.png,score_left,42,11,8,8,42,11
98,frame_000098.png,score_right,122,11,8,8,122,11
# Frame 99, Action: fire, Step: 16
99,frame_000099.png,player_paddle,142,103,10,30,142,103
99,frame_000099.png,score_left,42,11,8,8,42,11
99,frame_000099.png,score_right,122,11,8,8,122,11
# Frame 100, Action: fire, Step: 17
100,frame_000100.png,player_paddle,142,103,10,30,142,103
100,frame_000100.png,score_left,42,11,8,8,42,11
100,frame_000100.png,score_right,122,11,8,8,122,11
# Frame 101, Action: fire, Step: 18
101,frame_000101.png,player_paddle,142,103,10,30,142,103
101,frame_000101.png,enemy_paddle,18,122,10,30,18,122
101,frame_000101.png,ball,79,117,4,4,79,117
101,frame_000101.png,score_left,42,11,8,8,42,11
101,frame_000101.png,score_right,122,11,8,8,122,11
# Frame 102, Action: fire, Step: 0
102,frame_000102.png,player_paddle,142,103,10,30,142,103
102,frame_000102.png,score_left,42,11,8,8,42,11
102,frame_000102.png,score_right,122,11,8,8,122,11
# Frame 103, Action: fire, Step: 1
103,frame_000103.png,player_paddle,142,103,10,30,142,103
103,frame_000103.png,score_left,42,11,8,8,42,11
103,frame_000103.png,score_right,122,11,8,8,122,11
# Frame 104, Action: fire, Step: 2
104,frame_000104.png,player_paddle,142,103,10,30,142,103
104,frame_000104.png,score_left,42,11,8,8,42,11
104,frame_000104.png,score_right,122,11,8,8,122,11
# Frame 105, Action: fire, Step: 3
105,frame_000105.png,player_paddle,142,103,10,30,142,103
105,frame_000105.png,score_left,42,11,8,8,42,11
105,frame_000105.png,score_right,122,11,8,8,122,11
# Frame 106, Action: fire, Step: 4
106,frame_000106.png,player_paddle,142,103,10,30,142,103
106,frame_000106.png,score_left,42,11,8,8,42,11
106,frame_000106.png,score_right,122,11,8,8,122,11
# Frame 107, Action: fire, Step: 5
107,frame_000107.png,player_paddle,142,103,10,30,142,103
107,frame_000107.png,score_left,42,11,8,8,42,11
107,frame_000107.png,score_right,122,11,8,8,122,11
# Frame 108, Action: fire, Step: 6
108,frame_000108.png,player_paddle,142,103,10,30,142,103
108,frame_000108.png,score_left,42,11,8,8,42,11
108,frame_000108.png,score_right,122,11,8,8,122,11
# Frame 109, Action: fire, Step: 7
109,frame_000109.png,player_paddle,142,103,10,30,142,103
109,frame_000109.png,score_left,42,11,8,8,42,11
109,frame_000109.png,score_right,122,11,8,8,122,11
# Frame 110, Action: fire, Step: 8
110,frame_000110.png,player_paddle,142,103,10,30,142,103
110,frame_000110.png,score_left,42,11,8,8,42,11
110,frame_000110.png,score_right,122,11,8,8,122,11
# Frame 111, Action: fire, Step: 9
111,frame_000111.png,player_paddle,142,103,10,30,142,103
111,frame_000111.png,score_left,42,11,8,8,42,11
111,frame_000111.png,score_right,122,11,8,8,122,11
# Frame 112, Action: fire, Step: 10
112,frame_000112.png,player_paddle,142,103,10,30,142,103
112,frame_000112.png,score_left,42,11,8,8,42,11
112,frame_000112.png,score_right,122,11,8,8,122,11
# Frame 113, Action: fire, Step: 11
113,frame_000113.png,player_paddle,142,103,10,30,142,103
113,frame_000113.png,score_left,42,11,8,8,42,11
113,frame_000113.png,score_right,122,11,8,8,122,11
# Frame 114, Action: fire, Step: 12
114,frame_000114.png,player_paddle,142,103,10,30,142,103
114,frame_000114.png,score_left,42,11,8,8,42,11
114,frame_000114.png,score_right,122,11,8,8,122,11
# Frame 115, Action: fire, Step: 13
115,frame_000115.png,player_paddle,142,103,10,30,142,103
115,frame_000115.png,score_left,42,11,8,8,42,11
115,frame_000115.png,score_right,122,11,8,8,122,11
# Frame 116, Action: fire, Step: 14
116,frame_000116.png,player_paddle,142,103,10,30,142,103
116,frame_000116.png,score_left,42,11,8,8,42,11
116,frame_000116.png,score_right,122,11,8,8,122,11
# Frame 117, Action: fire, Step: 15
117,frame_000117.png,player_paddle,142,103,10,30,142,103
117,frame_000117.png,score_left,42,11,8,8,42,11
117,frame_000117.png,score_right,122,11,8,8,122,11
# Frame 118, Action: fire, Step: 16
118,frame_000118.png,player_paddle,142,103,10,30,142,103
118,frame_000118.png,score_left,42,11,8,8,42,11
118,frame_000118.png,score_right,122,11,8,8,122,11
# Frame 119, Action: fire, Step: 17
119,frame_000119.png,player_paddle,142,103,10,30,142,103
119,frame_000119.png,score_left,42,11,8,8,42,11
119,frame_000119.png,score_right,122,11,8,8,122,11
# Frame 120, Action: fire, Step: 18
120,frame_000120.png,player_paddle,142,103,10,30,142,103
120,frame_000120.png,score_left,42,11,8,8,42,11
120,frame_000120.png,score_right,122,11,8,8,122,11
# Frame 121, Action: fire, Step: 19
121,frame_000121.png,player_paddle,142,103,10,30,142,103
121,frame_000121.png,score_left,42,11,8,8,42,11
121,frame_000121.png,score_right,122,11,8,8,122,11
# Frame 122, Action: fire, Step: 20
122,frame_000122.png,player_paddle,142,103,10,30,142,103
122,frame_000122.png,enemy_paddle,18,124,10,30,18,124
122,frame_000122.png,ball,77,119,4,4,77,119
122,frame_000122.png,score_left,42,11,8,8,42,11
122,frame_000122.png,score_right,122,11,8,8,122,11
# Frame 123, Action: fire, Step: 0
123,frame_000123.png,player_paddle,142,103,10,30,142,103
123,frame_000123.png,score_left,42,11,8,8,42,11
123,frame_000123.png,score_right,122,11,8,8,122,11
# Frame 124, Action: fire, Step: 1
124,frame_000124.png,player_paddle,142,103,10,30,142,103
124,frame_000124.png,score_left,42,11,8,8,42,11
124,frame_000124.png,score_right,122,11,8,8,122,11
# Frame 125, Action: fire, Step: 2
125,frame_000125.png,player_paddle,142,103,10,30,142,103
125,frame_000125.png,score_left,42,11,8,8,42,11
125,frame_000125.png,score_right,122,11,8,8,122,11
# Frame 126, Action: fire, Step: 3
126,frame_000126.png,player_paddle,142,103,10,30,142,103
126,frame_000126.png,score_left,42,11,8,8,42,11
126,frame_000126.png,score_right,122,11,8,8,122,11
# Frame 127, Action: fire, Step: 4
127,frame_000127.png,player_paddle,142,103,10,30,142,103
127,frame_000127.png,score_left,42,11,8,8,42,11
127,frame_000127.png,score_right,122,11,8,8,122,11
# Frame 128, Action: fire, Step: 5
128,frame_000128.png,player_paddle,142,103,10,30,142,103
128,frame_000128.png,score_left,42,11,8,8,42,11
128,frame_000128.png,score_right,122,11,8,8,122,11
# Frame 129, Action: fire, Step: 6
129,frame_000129.png,player_paddle,142,103,10,30,142,103
129,frame_000129.png,score_left,42,11,8,8,42,11
129,frame_000129.png,score_right,122,11,8,8,122,11
# Frame 130, Action: fire, Step: 7
130,frame_000130.png,player_paddle,142,103,10,30,142,103
130,frame_000130.png,score_left,42,11,8,8,42,11
130,frame_000130.png,score_right,122,11,8,8,122,11
# Frame 131, Action: fire, Step: 8
131,frame_000131.png,player_paddle,142,103,10,30,142,103
131,frame_000131.png,score_left,42,11,8,8,42,11
131,frame_000131.png,score_right,122,11,8,8,122,11
# Frame 132, Action: fire, Step: 9
132,frame_000132.png,player_paddle,142,103,10,30,142,103
132,frame_000132.png,score_left,42,11,8,8,42,11
132,frame_000132.png,score_right,122,11,8,8,122,11
# Frame 133, Action: fire, Step: 10
133,frame_000133.png,player_paddle,142,103,10,30,142,103
133,frame_000133.png,score_left,42,11,8,8,42,11
133,frame_000133.png,score_right,122,11,8,8,122,11
# Frame 134, Action: fire, Step: 11
134,frame_000134.png,player_paddle,142,103,10,30,142,103
